anime_id,title,title_english,episodes,rating,score,scored_by,rank,popularity,members,genre,duration_min,aired_from_year
1,Cowboy Bebop,Cowboy Bebop,26,R - 17+ (violence & profanity),8.81,365465,27,38,707773,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",24,1998
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,1,R - 17+ (violence & profanity),8.41,111344,157,438,180246,"Action, Space, Drama, Mystery, Sci-Fi",114,2001
6,Trigun,Trigun,26,PG-13 - Teens 13 or older,8.31,197843,234,138,373877,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",24,1998
7,Witch Hunter Robin,Witch Hunter Robin,26,PG-13 - Teens 13 or older,7.34,31908,2292,1104,75017,"Action, Magic, Police, Supernatural, Drama, Mystery",25,2002
8,Beet the Vandel Buster,Beet the Vandel Buster,52,PG - Children,7.04,4760,3400,3495,11276,"Adventure, Fantasy, Shounen, Supernatural",23,2004
15,Eyeshield 21,,145,PG-13 - Teens 13 or older,8.05,48825,487,812,106718,"Action, Sports, Comedy, Shounen",23,2005
16,Hachimitsu to Clover,Honey and Clover,24,PG-13 - Teens 13 or older,8.14,54404,382,500,160519,"Comedy, Drama, Josei, Romance, Slice of Life",23,2005
17,Hungry Heart: Wild Striker,,52,PG-13 - Teens 13 or older,7.69,8885,1130,2967,16161,"Slice of Life, Comedy, Sports, Shounen",23,2002
18,Initial D Fourth Stage,,24,PG-13 - Teens 13 or older,8.24,37675,276,1261,64574,"Action, Cars, Sports, Drama, Seinen",27,2004
19,Monster,Monster,74,R+ - Mild Nudity,8.69,118856,49,152,353310,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",24,2004
20,Naruto,Naruto,220,PG-13 - Teens 13 or older,7.88,648605,745,10,980265,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",23,2002
21,One Piece,One Piece,0,PG-13 - Teens 13 or older,8.54,423868,91,35,720133,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24,1999
22,Tennis no Ouji-sama,The Prince of Tennis,178,PG-13 - Teens 13 or older,8.01,48149,550,806,107492,"Action, Comedy, Sports, School, Shounen",22,2001
23,Ring ni Kakero 1,,12,PG - Children,6.59,763,5263,6186,2731,"Action, Shounen, Sports",25,2004
24,School Rumble,School Rumble,26,PG-13 - Teens 13 or older,8.02,101593,537,347,214621,"Comedy, Romance, School, Shounen",23,2004
25,Sunabouzu,Desert Punk,24,R - 17+ (violence & profanity),7.52,34377,1586,1008,83603,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",24,2004
26,Texhnolyze,Texhnolyze,22,R+ - Mild Nudity,7.78,29726,932,661,126584,"Action, Sci-Fi, Psychological, Drama",23,2003
27,Trinity Blood,Trinity Blood,24,R - 17+ (violence & profanity),7.41,59596,1998,638,131899,"Action, Supernatural, Vampire",24,2005
28,Yakitate!! Japan,Yakitate!! Japan,69,PG-13 - Teens 13 or older,8.02,26532,540,1301,62326,"Comedy, Shounen",24,2004
29,Zipang,,26,PG-13 - Teens 13 or older,7.54,4155,1546,3432,11799,"Action, Military, Sci-Fi, Historical, Drama, Seinen",24,2004
